farmer_id,farm_size_acres,years_farming,crop_type,region,income_declared,previous_subsidies_count,equipment_value,land_ownership_type
F0000,174.83570765056163,9.598573800204948,corn,West,25207.246905604385,6,79146.94535142652,owned
F0001,143.08678494144075,13.843850634275856,wheat,Central,13248.87597000094,3,106802.43307541768,owned
F0002,182.38442690503462,8.660640632000309,cotton,South,92133.20943328872,1,95051.65797991469,owned
F0003,226.15149282040127,12.536307762887677,corn,Central,86726.08304626489,2,76462.15127594085,leased
F0004,138.2923312638332,1.0,soybean,North,11089.710071072426,1,130967.78463880274,owned
F0005,138.29315215254098,16.70634965898351,wheat,West,49277.73348047446,4,65763.84142562542,leased
F0006,228.96064077536957,15.009643802897793,corn,North,52998.326861572845,2,49999.26078931469,owned
F0007,188.37173645764545,8.463290951454475,corn,North,64459.43163936777,1,93898.97377796864,owned
F0008,126.5262807032524,20.27396534745924,wheat,South,84784.17793102466,2,106234.49210442013,owned
F0009,177.12800217929822,22.500561101012465,wheat,North,28771.794959617644,1,87361.28785337253,leased
F0010,126.82911535937689,2.139521085048207,rice,West,29846.363489691044,3,38727.00323538449,mixed
F0011,126.71351232148716,8.898201771470287,wheat,Central,49976.576476175724,1,74447.21510984236,owned
F0012,162.0981135783017,8.846861201701614,wheat,West,30728.439322290575,3,135758.2669003554,owned
F0013,54.33598776711011,7.480775191129083,corn,South,10000.0,3,87949.59589439824,owned
F0014,63.75410837434836,21.63579873545399,rice,West,45455.19870450219,1,66488.19106905864,leased
F0015,121.88562353795136,13.449390889817572,wheat,East,67150.87814313381,2,97687.37734881956,leased
F0016,99.35844398327882,12.883881269515115,soybean,Central,49590.65228922696,3,77435.56216858962,owned
F0017,165.7123666297637,1.0,wheat,East,62480.905182996044,6,83398.90458902174,owned
F0018,104.59879622393944,20.08334424167381,wheat,East,59620.12407908504,3,46816.02712743474,leased
F0019,79.38481493323543,5.0859328411722196,wheat,South,29460.287492160638,5,50216.19574413039,leased
F0020,223.28243844607772,15.479461042130627,rice,North,51360.430887581104,1,111847.71010740173,owned
F0021,138.7111849756732,17.219015503665535,wheat,East,19496.787019219802,2,42969.27646312037,leased
F0022,153.3764102343962,25.88526876670921,wheat,West,39761.78677029592,3,76328.71300974103,leased
F0023,78.76259068932715,4.529436807047103,corn,North,51009.063689038645,3,105960.79726090567,owned
F0024,122.78086377374086,1.0,rice,West,49976.94667423855,1,122390.78045367217,owned
F0025,155.5461294854933,16.47079635802956,wheat,West,24181.30246378858,3,65561.6716372292,owned
F0026,92.45032112888487,29.40408945208683,corn,North,28220.090275888942,3,102766.98364626564,leased
F0027,168.7849009172836,24.911570823515497,wheat,North,55819.19259315791,1,76384.25755787254,leased
F0028,119.96806550405975,16.677275322197005,corn,West,66547.86870606602,3,14596.40289018915,mixed
F0029,135.41531251033615,11.066910514943622,soybean,South,45860.650130202055,2,81382.27363507646,owned
F0030,119.91466938853016,21.456980773098483,soybean,Central,44859.46641493558,4,77992.77518982685,leased
F0031,242.6139092254469,7.211630402364251,corn,Central,68625.52000005844,4,92753.6501726307,owned
F0032,149.3251387631033,18.810862154849755,corn,South,34558.67771945472,3,60720.50816089085,owned
F0033,97.11445355220499,19.043761273333015,wheat,North,84540.59132208234,4,63919.25231305462,leased
F0034,191.12724560515946,23.48167925999104,corn,West,23094.545907005027,5,116032.08374315253,mixed
F0035,88.95781750144889,37.07728031128862,wheat,Central,70969.92662977587,3,69915.60204510464,owned
F0036,481.3295392507133,18.139327737430136,rice,West,60783.35688306115,2,22597.088832137008,mixed
F0037,52.016493806011226,10.92829099434001,cotton,South,98202.41044790382,6,94713.33345028006,owned
F0038,83.59069755507848,14.795405502464044,cotton,West,27576.613592357844,2,49014.876275850256,owned
F0039,159.84306179345617,1.0,rice,South,10000.0,2,105612.90854365837,owned
F0040,186.92332899977052,9.442294951287534,soybean,North,74988.92734590782,4,61540.01163052555,leased
F0041,158.56841405949854,11.725740495095168,soybean,South,20573.329853604308,1,80006.86825558888,owned
F0042,144.21758588058796,10.80729281652326,wheat,South,62315.52984276177,0,95938.32770290431,owned
F0043,404.83444566160665,16.218838976269776,soybean,Central,73643.02161254514,4,108917.38042031127,owned
F0044,76.07390048162863,8.420640540942395,corn,West,57595.215294355046,4,95062.41154259923,leased
F0045,342.0233687407937,23.96824533859577,corn,Central,54643.61773004387,2,103268.71058189706,owned
F0046,126.96806145201063,15.001656519345577,rice,East,58018.8006961389,0,58035.57529700321,owned
F0047,202.85611131094578,14.925597430891084,wheat,South,66748.4378674269,3,11297.0941503457,leased
F0048,167.18091447842306,12.376842267896658,corn,East,61741.36969526036,6,111610.85606933263,leased
F0049,61.8479922318633,16.24152547087183,cotton,Central,25668.32386417689,4,51619.46370441196,owned
F0050,166.20419846973977,21.600786117341077,wheat,West,86499.99443698367,3,74857.37258867285,owned
F0051,130.74588597918418,8.062958274312798,corn,Central,51022.16069753804,1,104235.28843185154,leased
F0052,116.15389998470206,9.735068087397947,cotton,West,60366.83172959009,4,80800.58151723647,owned
F0053,180.5838144420434,12.570191769786682,soybean,West,64219.78035053725,4,101080.10575195398,leased
F0054,201.54997612479755,4.233032612214281,corn,North,73118.5560376257,2,153645.74060128833,owned
F0055,196.56400595580993,8.445937122228017,wheat,South,71042.13644949271,7,96545.47606940233,owned
F0056,108.03912383886808,11.190233011642729,corn,Central,52634.73652894984,2,58140.93285316772,owned
F0057,134.53938120743928,21.99511344570182,rice,West,51349.329691695806,4,36583.596173112215,mixed
F0058,166.5631715701782,17.1004906320154,soybean,Central,58172.21965937793,1,100300.39864346005,mixed
F0059,198.77725635611796,16.548719290940355,corn,Central,72001.22011906933,3,82445.21123241281,mixed
F0060,126.04128810773551,21.807183697343778,wheat,West,27747.566303342315,0,38631.20818342659,owned
F0061,140.71705116680914,13.901025692804827,wheat,East,62881.908444839195,1,115372.11060128674,leased
F0062,94.68325129969858,18.123718799431117,cotton,South,32273.54790008004,3,101724.45856722916,owned
F0063,90.18966879596647,14.174225976540031,corn,South,87024.27050002941,2,79652.4324610898,leased
F0064,190.6262911197099,17.122898795197028,soybean,North,57346.28335968955,2,145604.1948097414,owned
F0065,653.4360042856234,10.337930739107343,wheat,North,41679.44850698263,2,110695.0990749324,leased
F0066,146.3994939209833,1.0,soybean,North,58574.33203337792,4,50280.681489611394,mixed
F0067,200.17664489460122,13.925766702509566,cotton,South,50184.03315372906,2,115178.96181548518,owned
F0068,168.0818012523817,26.38198508879952,soybean,East,46796.260753351446,3,87647.65445877095,owned
F0069,117.74401226974379,22.40972321793274,wheat,South,13815.494871844989,4,136799.25703399372,owned
F0070,168.0697802754207,22.723179876729365,soybean,South,29516.1399364457,3,108289.51862782167,owned
F0071,226.90182832329845,24.88904577444974,rice,South,47190.93801034972,5,94529.15870637963,owned
F0072,148.20869804450243,15.7092607276915,corn,South,16232.91720639194,1,92821.34313541734,leased
F0073,228.2321827907003,16.578525659244765,rice,East,38256.47405284758,6,44345.44944659008,owned
F0074,19.012744795512788,10.058784836525199,soybean,North,40002.504744259495,3,64639.306150144825,leased
F0075,191.09512521876118,12.471417151783601,rice,Central,34411.14746524137,4,86250.58016483349,owned
F0076,154.35235341190855,19.926169198169134,soybean,North,65447.09627329282,4,38847.505083761665,owned
F0077,135.04963247670662,24.63107549735053,wheat,North,32396.613628037234,4,94015.66831263335,owned
F0078,154.58803882677512,13.884429794552004,corn,Central,51768.17624153128,2,57701.65765525172,owned
F0079,50.621554269955354,11.398485881188707,wheat,South,42936.72082018851,6,68204.60550322899,leased
F0080,139.01640560812442,15.00422367085278,cotton,East,47624.054737357306,1,101321.0150981179,owned
F0081,167.85562857558733,19.809653991432917,rice,East,82128.01505302262,6,63321.50221341589,leased
F0082,223.89470223707582,3.4491614709316654,soybean,North,53593.72703666349,3,94084.627948721,owned
F0083,372.2594672589529,1.0,corn,Central,57460.657830525764,3,84349.10077795712,mixed
F0084,109.57531985534061,10.595705204067333,wheat,West,34691.65825573864,2,48241.26231148621,leased
F0085,124.91214782077317,5.234300592686731,rice,South,62522.993545912745,3,106441.80919715963,owned
F0086,195.7701058851037,10.934878418821512,corn,North,61679.39813695669,5,107982.59696948779,owned
F0087,166.43755548298424,13.817757449460228,wheat,East,59752.17334077423,4,109613.12595306378,owned
F0088,370.5359694349442,11.374012727815893,soybean,Central,25816.463642346967,4,137230.41902941937,leased
F0089,175.66337165566782,26.619740275765963,wheat,Central,38295.05564063813,2,67665.94695937968,owned
F0090,154.85387746740201,17.61395811681856,corn,North,78671.60127136583,4,21510.644172143744,leased
F0091,595.2967485799334,17.40379487688663,corn,West,36245.110686254615,5,60289.81161032942,owned
F0092,114.89734530613238,19.977657152347216,wheat,East,81399.76051509261,3,108784.76016260366,owned
F0093,133.61689267011158,5.889335057753847,cotton,North,39072.06845899186,5,77558.90229618657,owned
F0094,130.3945923433921,23.31289429936215,wheat,West,52964.32308105645,1,37856.8195126264,owned
F0095,76.82425259339408,14.39388570771632,wheat,Central,46256.61531485072,4,29497.31071207451,leased
F0096,164.8060138532288,20.3638449379297,wheat,South,33103.89435636673,3,122610.65035050196,owned
F0097,163.05276360899447,6.425142135678756,rice,East,33391.820408606334,6,98257.47670485177,leased
F0098,150.25567283212305,2.5699298718714854,corn,East,35915.1398702053,4,65100.02822761694,leased
F0099,138.27064333124267,21.54311726420023,soybean,West,52961.2856289915,3,136475.46592448303,owned
F0100,79.23146289747929,18.01127620878013,wheat,North,67808.3504799054,2,159467.1086415788,owned
F0101,128.96773386173206,7.783587565139917,wheat,Central,51663.13305427991,3,111045.35310167223,owned
F0102,132.86427417366153,8.042695349802445,corn,West,49332.43526908901,3,102660.29652856349,leased
F0103,109.88613653891906,24.003478275318155,rice,South,74207.56110684594,1,95847.60798027217,owned
F0104,141.93571441669954,5.484704857061377,rice,South,50826.76353932627,2,105670.68850334581,owned
F0105,170.20254284072692,28.141383626047705,wheat,South,39142.72789777306,3,138751.0942035311,owned
F0106,244.3092950605265,7.79503412281705,corn,West,30045.178427264007,4,50818.4515593308,owned
F0107,158.72889064159196,20.107135404867066,cotton,Central,75408.94567317235,3,43056.9710558812,mixed
F0108,162.8775195361382,12.371052194008122,corn,East,43412.04979675395,1,78566.37406297661,leased
F0109,146.27770421169163,19.825499448658746,rice,North,38428.52411252263,1,97229.25454932833,owned
F0110,54.06143923504793,10.64708798308646,wheat,East,36699.13552854548,1,126962.76991234452,leased
F0111,148.67430622753915,13.697656751421647,cotton,Central,74283.81110975456,4,92384.8788073901,mixed
F0112,153.01151049705132,15.32735340316577,rice,East,38540.5201346355,2,98757.01605401216,owned
F0113,273.1621056242643,6.982500353748218,cotton,West,69809.25515350187,4,100301.51742050977,leased
F0114,140.38195176094388,20.926594763361006,soybean,South,45391.84179181062,2,80692.56982086615,owned
F0115,165.07736711668062,10.894291468227319,corn,Central,25832.39337946153,3,67516.0373258903,leased
F0116,148.26441151473784,13.17120067727985,cotton,Central,43350.166123601986,5,82240.29821626486,leased
F0117,91.5660981190234,7.045205003131902,wheat,East,49344.13731104119,4,60371.11943983716,mixed
F0118,207.14114072575103,1.0,corn,West,47696.58414457301,3,60887.11923807078,owned
F0119,187.5966516343387,13.471777899198647,soybean,East,47200.3259424773,1,91041.06723650638,leased
F0120,189.55159735215233,34.30092337290333,rice,East,43561.10113656362,4,65653.25760437943,owned
F0121,104.53062726026306,21.27683430318419,cotton,Central,34299.80080594742,4,135401.13695983755,owned
F0122,220.13971554680495,14.845916962124843,wheat,East,50214.75127548387,3,84396.28593302905,mixed
F0123,79.90744686038596,12.896873366333859,rice,South,60818.96841455851,4,120777.58309141941,leased
F0124,179.34285469001352,15.179727142496372,soybean,East,20748.08478800575,4,42647.16830662272,owned
F0125,259.5227812904989,19.37695292140168,wheat,South,75981.24436104414,3,43565.37317482937,leased
F0126,100.47318374346558,5.553497477529241,corn,Central,10000.0,1,76667.93726438399,owned
F0127,121.6851135198614,23.914573557350977,wheat,West,51504.97149532698,1,108103.00345487817,owned
F0128,154.98256825438207,20.723050523529952,corn,South,59321.7387094685,4,65298.26447640265,leased
F0129,124.82621729419004,20.745485805663478,cotton,West,37932.943802099515,4,76988.69409582266,owned
F0130,72.46682844669337,18.507805910477817,soybean,West,10000.0,3,109997.76247404235,owned
F0131,153.42814874030137,15.15693326155192,soybean,South,48065.51799815905,2,68359.14380262412,leased
F0132,96.88481431369476,20.38288988773456,cotton,Central,53393.918492068675,3,57274.44811429402,owned
F0133,173.67962153175907,19.734513069931026,corn,North,27025.62530847601,3,101251.77037929889,owned
F0134,104.02878828830984,12.16767431247181,rice,West,33397.33178839082,4,40878.91937932174,owned
F0135,227.496720250877,10.411185816824792,corn,West,69254.24192127568,3,68790.07573133122,mixed
F0136,110.83733538318815,15.814850362095893,rice,Central,52353.635194035516,0,83428.29021218953,leased
F0137,133.89692418971623,27.3921612119615,wheat,Central,19826.460214747185,5,95870.57415639432,owned
F0138,190.67586086848348,5.087143394768793,cotton,East,58996.59835510263,2,104679.44065092987,owned
