application_id,farmer_id,subsidy_type,amount_requested,amount_approved,processing_official,processing_institution,application_date,processing_time_days,documents_submitted,inspection_conducted,is_fraudulent
APP0000_00,F0000,land_improvement,14748.487793616638,11016.509324747596,OFF022,INST007,2023-09-05,28.770260434214155,3,0,0
APP0000_01,F0000,land_improvement,25858.73196573027,19507.305853077814,OFF048,INST012,2022-04-28,27.451601974986062,8,1,0
APP0001_00,F0001,land_improvement,32023.34459805805,28059.13720081028,OFF020,INST006,2022-05-08,18.82690822085589,3,1,0
APP0001_01,F0001,conservation,13871.874252082463,7746.0794044713675,OFF018,INST003,2023-01-09,37.143975258848336,7,0,0
APP0002_00,F0002,conservation,17667.21986819033,5739.167594724425,OFF031,INST004,2023-09-22,48.16995045356903,6,1,0
APP0002_01,F0002,land_improvement,1000.0,894.5754127620014,OFF012,INST015,2023-09-27,26.563648449252696,10,1,0
APP0003_00,F0003,crop_insurance,24966.87264950676,21500.7559261946,OFF032,INST003,2022-12-09,22.155343493052808,11,1,0
APP0003_01,F0003,organic_certification,15439.164788117696,13581.826408948345,OFF015,INST005,2023-08-26,47.39705043991374,7,0,0
APP0003_02,F0003,equipment_purchase,1000.0,584.325156308136,OFF015,INST013,2023-10-06,35.823224873866096,10,1,0
APP0004_00,F0004,equipment_purchase,9140.93803523936,3644.868628474335,OFF010,INST004,2023-03-05,16.38755428896012,4,1,0
APP0004_01,F0004,disaster_relief,16665.6408693507,6957.70627732022,OFF036,INST000,2023-01-18,9.067279704406797,5,1,0
APP0004_02,F0004,equipment_purchase,19047.944532543897,11123.154890790895,OFF024,INST019,2023-07-24,34.601119640641414,5,1,0
APP0004_03,F0004,organic_certification,17896.838213258292,12621.43195317253,OFF048,INST002,2022-08-11,27.21409303324275,5,0,0
APP0005_00,F0005,disaster_relief,14814.176671760346,8578.68806979414,OFF041,INST010,2022-04-04,32.39315359554669,8,0,0
APP0005_01,F0005,organic_certification,12033.28952500217,6458.909315064858,OFF020,INST004,2023-10-27,19.40741766459133,6,0,0
APP0005_02,F0005,crop_insurance,19068.754504533685,16744.184154251583,OFF034,INST006,2023-11-27,22.812812789891243,6,1,0
APP0005_03,F0005,organic_certification,1000.0,688.6285166057891,OFF008,INST003,2023-03-09,42.84456974335019,11,1,0
APP0006_00,F0006,organic_certification,12590.24684757454,6854.304245907838,OFF027,INST011,2022-01-05,24.916085529762857,8,1,0
APP0006_01,F0006,disaster_relief,6437.014853139162,4595.4155500369325,OFF022,INST010,2023-09-21,47.913861065992805,10,1,0
APP0006_02,F0006,conservation,13491.265191149467,10456.468566044432,OFF023,INST018,2023-03-26,28.816099863381666,9,1,0
APP0007_00,F0007,equipment_purchase,12447.055282416773,6477.8144939360245,OFF031,INST018,2023-05-22,45.23014179406495,10,1,0
APP0007_01,F0007,conservation,1000.0,585.0518115595371,OFF027,INST018,2023-11-14,51.61632695603612,7,0,0
APP0008_00,F0008,conservation,20520.01151536163,19050.24340164553,OFF034,INST003,2023-11-30,42.739947493234794,9,1,1
APP0008_01,F0008,conservation,18939.86787795698,12927.486391248969,OFF028,INST004,2022-07-14,22.939902825267296,3,1,0
APP0008_02,F0008,disaster_relief,24029.201830828668,9738.92031746304,OFF015,INST008,2023-11-29,1.0,11,0,0
APP0008_03,F0008,equipment_purchase,6694.8857199085,4004.7514374953844,OFF015,INST009,2023-11-17,19.39333378060186,11,1,0
APP0008_04,F0008,disaster_relief,4656.271900771775,2120.808592147619,OFF001,INST019,2023-09-23,14.741319460697378,11,1,0
APP0009_00,F0009,conservation,19192.458819569027,16278.183443955668,OFF037,INST010,2022-03-09,51.15398761452388,5,1,0
APP0010_00,F0010,equipment_purchase,27795.028240252672,16618.150483182468,OFF037,INST019,2023-09-19,38.51795077115543,5,1,0
APP0010_01,F0010,crop_insurance,27851.234731813263,26551.10371306255,OFF030,INST002,2023-11-06,19.063306511697398,10,1,1
APP0011_00,F0011,crop_insurance,28824.24957629913,9410.41823268174,OFF033,INST017,2022-08-05,54.20878649656342,3,0,0
APP0011_01,F0011,conservation,16111.940054831457,8522.665301734149,OFF040,INST010,2022-03-28,18.697700638501395,5,1,0
APP0012_00,F0012,equipment_purchase,24017.954739939654,9493.698810280992,OFF014,INST010,2022-04-04,35.30713182657611,10,1,0
APP0012_01,F0012,land_improvement,2838.802218044102,1521.000360391296,OFF043,INST007,2023-01-19,17.234975878389076,9,1,0
APP0013_00,F0013,conservation,4487.673344645878,3487.0295997905373,OFF004,INST017,2022-04-14,18.39203495592963,11,1,0
APP0013_01,F0013,equipment_purchase,24578.818143518853,21043.120756488275,OFF024,INST001,2023-01-28,32.97040159283098,3,1,0
APP0013_02,F0013,equipment_purchase,23753.946350742925,20184.896801879302,OFF040,INST003,2023-02-28,47.980702791975716,5,0,0
